"row_id","participant_id","analysis_weight","T","Y","M","C"
"272","px_2305504e66504860","0.00952380952380952","2","1","2","quality_low"
"273","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"274","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"275","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"276","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"277","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"278","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"279","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"280","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"281","px_2305504e66504860","0.00952380952380952","1","1","3","quality_low"
"282","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"283","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"284","px_2305504e66504860","0.00952380952380952","1","2","1","quality_low"
"285","px_2305504e66504860","0.00952380952380952","2","1","2","quality_low"
"286","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"287","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"288","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"289","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"290","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"291","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"292","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"293","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"294","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"295","px_2305504e66504860","0.00952380952380952","1","3","1","quality_low"
"296","px_2305504e66504860","0.00952380952380952","3","1","1","quality_low"
"297","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"298","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"299","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"300","px_2305504e66504860","0.00952380952380952","1","2","1","quality_low"
"301","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"302","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"303","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"304","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"305","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"306","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"307","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"308","px_2305504e66504860","0.00952380952380952","1","1","1","quality_high"
"309","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"310","px_2305504e66504860","0.00952380952380952","1","1","3","quality_high"
"311","px_2305504e66504860","0.00952380952380952","1","1","1","quality_high"
"312","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"313","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"314","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"315","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"316","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"317","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"318","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"319","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"320","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"321","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"322","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"323","px_2305504e66504860","0.00952380952380952","1","1","2","quality_high"
"324","px_2305504e66504860","0.00952380952380952","1","1","3","quality_high"
"325","px_2305504e66504860","0.00952380952380952","1","1","2","quality_low"
"326","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"327","px_2305504e66504860","0.00952380952380952","1","1","1","quality_high"
"328","px_2305504e66504860","0.00952380952380952","1","1","1","quality_low"
"329","px_2305504e66504860","0.00952380952380952","1","1","3","quality_high"
