"alpha","eta","delta","compatible","minimum_canonical_coordinate","negative_coordinate_count","observable_witness_bits","conditional_entropy_y_given_t_c_bits","sharp_lower_bits","sharp_upper_bits","lower_minus_witness_bits","design_id"
0.0025,0.01,0.005,TRUE,8.65933096852387e-05,0,0.00931938944898363,0.344913562819948,0.0103725845691779,0.319701696927014,0.00105319512019427,"age2_M2_T4"
0.005,0.01,0.005,TRUE,5.54266069973588e-05,0,0.00931938944898363,0.344913562819948,0.0103725845691779,0.299498870486154,0.00105319512019427,"age2_M2_T4"
0.01,0.01,0.005,FALSE,-4.68696716375352e-05,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.01,0.005,FALSE,-0.00154859734467833,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.01,0.005,FALSE,-0.0110316240126277,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.02,0.005,TRUE,0.000101172044332017,0,0.00931938944898363,0.344913562819948,0.0113663151585922,0.344913562819948,0.00204692570960853,"age2_M2_T4"
0.0025,0.02,0.005,TRUE,7.18637444069596e-05,0,0.00931938944898363,0.344913562819948,0.0113663151585922,0.319701696927014,0.00204692570960853,"age2_M2_T4"
0.005,0.02,0.005,TRUE,4.22594010483159e-05,0,0.00931938944898363,0.344913562819948,0.0113663151585922,0.299498870486154,0.00204692570960853,"age2_M2_T4"
0.01,0.02,0.005,FALSE,-5.92184010540493e-05,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.02,0.005,FALSE,-0.00157177997201533,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.02,0.005,FALSE,-0.011095959858064,8,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.05,0.005,FALSE,-0.00265873918103068,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.0025,0.05,0.005,FALSE,-0.00269588403921732,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.005,0.05,0.005,FALSE,-0.00273340409799169,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.01,0.05,0.005,FALSE,-0.00280959278876823,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.05,0.005,FALSE,-0.00296673196349484,5,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.05,0.005,FALSE,-0.0113061236198225,9,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0,0.01,TRUE,4.54505382566037e-05,0,0.00931938944898363,0.344913562819948,0.00996602057265157,0.344913562819948,0.00064663112366794,"age2_M2_T4"
0.0025,0,0.01,TRUE,1.72945048348675e-05,0,0.00931938944898363,0.344913562819948,0.00996602057265157,0.319701696927014,0.00064663112366794,"age2_M2_T4"
0.005,0,0.01,FALSE,-1.1145932964866e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.01,0,0.01,FALSE,-6.88974342112637e-05,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0,0.01,FALSE,-0.00154659536008407,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0,0.01,FALSE,-0.0110829448622546,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.0025,0.01,TRUE,4.14234759804025e-05,0,0.00931938944898363,0.344913562819948,0.0101462690047282,0.344913562819948,0.000826879555744618,"age2_M2_T4"
0.0025,0.0025,0.01,TRUE,1.36339928001543e-05,0,0.00931938944898363,0.344913562819948,0.0101462690047282,0.319701696927014,0.000826879555744618,"age2_M2_T4"
0.005,0.0025,0.01,FALSE,-1.44361922303995e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.01,0.0025,0.01,FALSE,-7.14358536699934e-05,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.0025,0.01,FALSE,-0.00155203454699159,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.0025,0.01,FALSE,-0.0110982221761974,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.005,0.01,TRUE,3.7355736307472e-05,0,0.00931938944898363,0.344913562819948,0.0103359801071888,0.344913562819948,0.00101659065820519,"age2_M2_T4"
0.0025,0.005,0.01,TRUE,9.93650589640357e-06,0,0.00931938944898363,0.344913562819948,0.0103359801071888,0.319701696927014,0.00101659065820519,"age2_M2_T4"
0.005,0.005,0.01,FALSE,-1.77596864380091e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.01,0.005,0.01,FALSE,-7.39999137293163e-05,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.005,0.01,FALSE,-0.001557528675181,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.005,0.01,FALSE,-0.0111136538064426,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.01,0.01,TRUE,2.90957343185622e-05,0,0.00931938944898363,0.344913562819948,0.0107492888089061,0.344913562819948,0.00142989935992247,"age2_M2_T4"
0.0025,0.01,0.01,TRUE,2.42834371429745e-06,0,0.00931938944898363,0.344913562819948,0.0107492888089061,0.319701696927014,0.00142989935992247,"age2_M2_T4"
0.005,0.01,0.01,FALSE,-2.45084144718285e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.01,0.01,0.01,FALSE,-7.92065254824313e-05,2,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.02,0.01,0.01,FALSE,-0.00156868511915745,3,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0.05,0.01,0.01,FALSE,-0.0111449894637773,7,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
0,0.02,0.01,TRUE,1.20594802164355e-05,0,0.00931938944898363,0.344913562819948,0.0117842492542747,0.344913562819948,0.00246485980529112,"age2_M2_T4"
0.0025,0.02,0.01,FALSE,-1.30572407862964e-05,1,0.00931938944898363,0.344913562819948,NA,NA,NA,"age2_M2_T4"
